rank,ticker,company,sector,market_cap,latest_fiscal_year,status
1,ENGROH,"Engro Holdings Limited","Inv. Banks / Inv. Cos. / Securities Cos.",334836705930,2026,"ok"
2,COLG,"Colgate-Palmolive (Pakistan) Limited","Food & Personal Care Products",306843586440,2026,"ok"
3,PTC,"Pakistan Telecommunication Company Ltd","Technology & Communication",279313740000,2026,"ok"
4,KEL,"K-Electric Limited","Power Generation & Distribution",227549200580,2024,"STALE FY2024"
5,ATLH,"Atlas Honda Limited","Automobile Assembler",208792841190,2026,"basis 2026 FY"
6,SYS,"Systems Limited","Technology & Communication",204906354780,2026,"ok"
7,BAHL,"Bank AL Habib Limited","Commercial Banks",194410534290,2026,"ok"
8,SLM,"Service Long March Tyres Limited","Automobile Parts & Accessories",189412686540,2025,"STALE FY2025"
9,PSO,"Pakistan State Oil Company Limited","Oil & Gas Marketing Companies",164597338980,2026,"ok"
10,PIAHCLA,"PIA Holding Company Limited","Inv. Banks / Inv. Cos. / Securities Cos.",158635329800,2026,"basis 2024 FY"
11,ILP,"Interloop Limited","Textile Composite",149800690850,2026,"ok"
12,ISIL,"Ismail Industries Limited","Food & Personal Care Products",127869823380,2026,"ok"
13,SAZEW,"Sazgar Engineering Works Limited","Automobile Assembler",127275015480,2026,"ok"
14,FCCL,"Fauji Cement Company Limited","Cement",127253713770,2026,"ok"
15,GLAXO,"GlaxoSmithKline Pakistan Limited","Pharmaceuticals",123250021260,2026,"ok"
16,LCI,"Lucky Core Industries Limited","Chemical",112193155990,2026,"ok"
17,TSML,"Tandlianwala Sugar Mills Limited","Sugar & Allied Industries",107135097200,2026,"ok"
18,SRVI,"Service Industries Limited","Leather & Tanneries",104387899880,2026,"ok"
19,ABOT,"Abbott Laboratories (Pakistan) Limited","Pharmaceuticals",99485307890,2026,"ok"
20,NATF,"National Foods Limited","Food & Personal Care Products",95623875550,2026,"ok"
21,HALEON,"Haleon Pakistan Limited","Pharmaceuticals",93995940470,2026,"ok"
22,ATRL,"Attock Refinery Limited","Refinery",93360651640,2026,"ok"
23,RMPL,"Rafhan Maize Products Company Limited","Food & Personal Care Products",88207620000,2026,"ok"
24,DCR,"Dolmen City REIT","Real Estate Investment Trust",86679826000,2026,"ok"
25,IBFL,"Ibrahim Fibres Limited","Synthetic & Rayon",84262283230,2026,"ok"
26,FCEPL,"Frieslandcampina Engro Pakistan Limited","Food & Personal Care Products",78016482550,2026,"ok"
27,SNGP,"Sui Northern Gas Pipelines Limited","Oil & Gas Marketing Companies",75325913300,2026,"ok"
28,KTML,"Kohinoor Textile Mills Limited","Textile Composite",73814980890,2026,"ok"
29,PKGS,"Packages Limited","Paper, Board & Packaging",71503603200,2026,"ok"
30,APL,"Attock Petroleum Limited","Oil & Gas Marketing Companies",69543567360,2026,"ok"
31,AGP,"AGP Limited","Pharmaceuticals",60830000000,2026,"ok"
32,JVDC,"Javedan Corporation Limited","Property",59905539710,2026,"ok"
33,NML,"Nishat Mills Limited","Textile Composite",57156071290,2026,"ok"
34,BML,"Bank Makramah Limited","Commercial Banks",57050000000,2026,"ok"
35,HINOON,"Highnoon Laboratories Limited","Pharmaceuticals",55879968730,2026,"ok"
36,JDWS,"JDW Sugar Mills Limited","Sugar & Allied Industries",54405392830,2026,"ok"
37,SEARL,"The Searle Company Limited","Pharmaceuticals",53227900210,2026,"ok"
38,THALL,"Thal Limited","Automobile Parts & Accessories",49800986990,2026,"ok"
39,CNERGY,"Cnergyico PK  Limited","Refinery",45705483790,2026,"basis 2025 FY"
40,DLL,"Dawood Lawrencepur Limited","Inv. Banks / Inv. Cos. / Securities Cos.",45699745300,2026,"ok"
41,FFL,"Fauji Foods Limited","Food & Personal Care Products",45661732080,2026,"ok"
42,LOTCHEM,"Lotte Chemical Pakistan Limited","Chemical",44487407540,2026,"ok"
43,PSX,"Pakistan Stock Exchange Limited","Inv. Banks / Inv. Cos. / Securities Cos.",42422156440,2026,"basis 2025 FY"
44,GHNI,"Ghandhara Industries Limited","Automobile Assembler",42374495360,2026,"basis 2025 FY"
45,WAFI,"Wafi Energy Pakistan Limited","Oil & Gas Marketing Companies",42053705840,2026,"ok"
46,GHGL,"Ghani Glass Limited","Glass & Ceramics",40998305510,2026,"ok"
47,ISL,"International Steels Limited","Engineering",40994400000,2026,"basis 2025 FY"
