Security Symbol,Security Name,Position Owned,Available,Avg Cost,Total Cost,Market Price,Market Value,Price Date
AIRLINK,AIR LINK COMMUNICATION LIMITED,474,474,159.84,75764.16,154.73,73342.02,2026-06-10
FCCL,FAUJI CEMENT COMPANY LIMITED,885,885,31.40,27789.00,52.29,46276.65,2026-06-10
FFC,FAUJI FERTILIZER COMPANY LIMITED,109,109,453.86,49470.74,553.50,60331.50,2026-06-10
GGL,GHANI GLOBAL HOLDINGS LIMITED,2195,2195,23.72,52065.40,20.50,44997.50,2026-06-10
IMAGE,IMAGE PAKISTAN LIMITED,1152,1152,23.81,27429.12,25.10,28915.20,2026-06-10
IREIT,IMAGE REIT,1500,1500,10.01,15015.00,8.22,12330.00,2026-06-10
LUCK,LUCKY CEMENT LIMITED,67,67,440.29,29499.43,429.40,28769.80,2026-06-10
MEBL,MEEZAN BANK LIMITED,556,556,312.30,173638.80,496.30,275942.80,2026-06-10
MUGHAL,MUGHAL IRON AND STEEL INDUSTRIES LTD,398,398,94.83,37742.34,80.30,31959.40,2026-06-10
NETSOL,NETSOL TECHNOLOGIES LIMITED,175,175,145.07,25387.25,128.88,22554.00,2026-06-10
PAEL,PAK ELEKTRON LIMITED,1257,1257,46.93,58991.01,40.25,50594.25,2026-06-10
PPL,PAKISTAN PETROLEUM LIMITED,259,259,201.15,52097.85,224.35,58106.65,2026-06-10
SEARL,THE SEARLE COMPANY LIMITED,80,80,122.01,9760.80,90.20,7216.00,2026-06-10
SYS,SYSTEMS LIMITED,723,723,134.23,97048.29,146.29,105767.67,2026-06-10
UBL,UNITED BANK LIMITED,513,513,192.26,98629.38,396.50,203404.50,2026-06-10
