Security Symbol,Security Name,Position Owned,Available,Avg Cost,Total Cost,Market Price,Market Value,Price Date
AIRLINK,AIR LINK COMMUNICATION LIMITED,108,108,139.43,15058.44,155.20,16761.60,2026-06-11
CCM,CRESCENT COTTON MILLS LIMITED,27000,27000,29.11,785970.00,37.99,1025730.00,2026-06-11
ENGROH,ENGRO HOLDINGS LIMITED,55,55,272.03,14961.65,259.19,14255.45,2026-06-11
FFC,FAUJI FERTILIZER COMPANY LIMITED,57,57,531.79,30312.03,551.47,31433.79,2026-06-11
HUBC,THE HUB POWER COMPANY LIMITED,46,46,218.64,10057.44,212.48,9774.08,2026-06-11
LUCK,LUCKY CEMENT LIMITED,47,47,423.01,19881.47,433.09,20355.23,2026-06-11
MEBL,MEEZAN BANK LIMITED,64,64,470.24,30095.36,500.89,32056.96,2026-06-11
OGDC,OIL & GAS DEVELOPMENT COMPANY LIMITED,25,25,325.97,8149.25,316.20,7905.00,2026-06-11
PINL,PREMIER INSURANCE LIMITED,37977,37977,5.81,220646.37,9.55,362680.35,2026-06-11
PPL,PAKISTAN PETROLEUM LIMITED,78,78,234.68,18305.04,222.67,17368.26,2026-06-11
SYS,SYSTEMS LIMITED,72,72,139.50,10044.00,147.06,10588.32,2026-06-11
UBL,UNITED BANK LIMITED,163,163,366.61,59757.43,399.00,65037.00,2026-06-11
